广西玉林市酒店电信,#genre#
测试3,http://180.142.87.159:8181/tsfile/live/1070_1.m3u8
广场舞,http://180.142.87.159:8181/tsfile/live/1060_1.m3u8
测试4,http://180.142.87.159:8181/tsfile/live/1071_1.m3u8
测试5,http://180.142.87.159:8181/tsfile/live/1072_1.m3u8

广西玉林市酒店联通,#genre#
东南卫视,http://171.38.41.71:8181/tsfile/live/0137_1.m3u8
CCTV14-少儿,http://171.38.41.71:8181/tsfile/live/0014_1.m3u8
CCTV13-新闻,http://171.38.41.71:8181/tsfile/live/0013_1.m3u8
贵州卫视,http://171.38.41.71:8181/tsfile/live/0120_1.m3u8
湖北卫视,http://171.38.41.71:8181/tsfile/live/0132_1.m3u8
中国教育-1,http://171.38.41.71:8181/tsfile/live/1005_1.m3u8
CCTV4-国际,http://171.38.41.71:8181/tsfile/live/0004_1.m3u8
深圳卫视,http://171.38.41.71:8181/tsfile/live/0126_1.m3u8
嘉佳卡通,http://171.38.41.71:8181/tsfile/live/1013_1.m3u8
凤凰中文,http://171.38.41.71:8181/tsfile/live/1014_1.m3u8
凤凰资讯,http://171.38.41.71:8181/tsfile/live/1015_1.m3u8
炫动卡通,http://171.38.41.71:8181/tsfile/live/1016_1.m3u8
上海卫视,http://171.38.41.71:8181/tsfile/live/0107_1.m3u8
北京卫视,http://171.38.41.71:8181/tsfile/live/0122_1.m3u8
安徽卫视,http://171.38.41.71:8181/tsfile/live/0130_1.m3u8
天津卫视,http://171.38.41.71:8181/tsfile/live/0135_1.m3u8
四川卫视,http://171.38.41.71:8181/tsfile/live/0123_1.m3u8
浙江卫视,http://171.38.41.71:8181/tsfile/live/0124_1.m3u8
重庆卫视,http://171.38.41.71:8181/tsfile/live/0142_1.m3u8
江西卫视 高清,http://171.38.41.71:8181/tsfile/live/0138_1.m3u8
广州台 高清,http://171.38.41.71:8181/tsfile/live/0115_1.m3u8
佛山影视 高清,http://171.38.41.71:8181/tsfile/live/0139_1.m3u8
经典电影,http://171.38.41.71:8181/tsfile/live/0143_1.m3u8
广州影视 高清,http://171.38.41.71:8181/tsfile/live/0131_1.m3u8
辽宁卫视,http://171.38.41.71:8181/tsfile/live/0121_1.m3u8
宁夏卫视,http://171.38.41.71:8181/tsfile/live/0112_1.m3u8
新疆卫视,http://171.38.41.71:8181/tsfile/live/0110_1.m3u8
甘肃卫视,http://171.38.41.71:8181/tsfile/live/0141_1.m3u8
延边卫视,http://171.38.41.71:8181/tsfile/live/1036_1.m3u8
吉林卫视,http://171.38.41.71:8181/tsfile/live/0116_1.m3u8
CCTV9-纪录,http://171.38.41.71:8181/tsfile/live/0009_1.m3u8
广东珠江,http://171.38.41.71:8181/tsfile/live/1039_1.m3u8
广东新闻,http://171.38.41.71:8181/tsfile/live/1040_1.m3u8
广东体育,http://171.38.41.71:8181/tsfile/live/1041_1.m3u8
CCTV3-综艺,http://171.38.41.71:8181/tsfile/live/0003_1.m3u8
CCTV5-体育,http://171.38.41.71:8181/tsfile/live/0005_1.m3u8
CCTV6-电影,http://171.38.41.71:8181/tsfile/live/0006_1.m3u8
CCTV8-电视剧,http://171.38.41.71:8181/tsfile/live/0008_1.m3u8
